"","Id","total_steps","avg_steps","avg_distance"
"1",1503960366,375619,12116.7419354839,7.80967738551478
"2",1624580081,178061,5743.90322580645,3.91483872936618
"3",1644430081,218489,7282.96666666667,5.29533335367839
"4",1844505072,79982,2580.06451612903,1.70612903684378
"5",1927972279,28400,916.129032258065,0.634516123081408
"6",2022484408,352490,11370.6451612903,8.08419349116664
"7",2026352035,172573,5566.87096774194,3.45483871525334
"8",2320127002,146223,4716.87096774194,3.18774190448946
"9",2347167796,171354,9519.66666666667,6.355555535915
"10",2873212765,234229,7555.77419354839,5.10161286015664
"11",3372868164,137233,6861.65,4.707000041008
"12",3977333714,329537,10984.5666666667,7.51699994405111
"13",4020332650,70284,2267.22580645161,1.62612903893234
"14",4057192912,15352,3838,2.86250001192093
"15",4319703577,225334,7268.83870967742,4.8922580470361
"16",4388161847,335232,10813.935483871,8.39322589289757
"17",4445114986,148693,4796.54838709677,3.24580644023034
"18",4558609924,238239,7685.12903225806,5.08064517667217
"19",4702921684,265734,8572.06451612903,6.95516128309312
"20",5553957443,266990,8612.58064516129,5.63967744958016
"21",5577150313,249133,8304.43333333333,6.2133333047231
"22",6117666160,197308,7046.71428571429,5.34214291402272
"23",6290855005,163837,5649.55172413793,4.27241380461331
"24",6775888955,65512,2519.69230769231,1.81346151612413
"25",6962181067,303639,9794.8064516129,6.5858064774544
"26",7007744171,294409,11323.4230769231,8.01538459154276
"27",7086361926,290525,9371.77419354839,6.38806450781563
"28",8053475328,457662,14763.2903225806,11.4751611986468
"29",8253242879,123161,6482.15789473684,4.66736846848538
"30",8378563200,270249,8717.70967741935,6.91354846185253
"31",8583815059,223154,7198.51612903226,5.61548382236112
"32",8792009665,53758,1853.72413793103,1.18655171682095
"33",8877689391,497241,16040.0322580645,13.2129031381299
